Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"ThePickFix:Heart Shaped Picky Pad - Stress Relief Fidget, Skin Picking Alternative
Picking Fidget, Skin Picking, Hair pulling, Compulsive picking, fidget toy, pimple popping, Anxiety Relief, picky pad, ADHD fidget, Autism fidget, skin picking relief, Dermatillomania help, bfrb",314,649,2.1,14,$15.99,$224,49
"HeyMorning:Anxiety Tracker Google Sheets Stress Tracker Spreadsheet Chronic Anxiety Management Template Anxiety Symptom Dashboard Mental Health Tracker
symptom tracker, symptom journal, symptom log, symptom diary, anxiety tracker, anxiety journal, anxiety log, Stress Tracker, Mood Tracker, Anxiety Worksheet, Chronic Anxiety, Mental Health, Trigger Tracker",265,1142,4.3,37,$5.98,$221,62
"HeavenTreasureChest:Pocket Cross Comfort Gift, Wooden Cross for Stress Relief & Encouragement, Religious Rosary Box, Christian Gift for Friend, Christmas Bible
Religious cross, Christian gift, Wooden prayer box, pocket cross gift, wooden cross gift, stress relief cross, faith encouragement, religious rosary box, gift for friend, Christmas gift, Bible study gift, comfort cross, wooden thumb cross",272,687,2.5,17,$11.99,$204,17
"DurangoMakers:8-Point Fidget Star - Fractal Stress Relief Fidget
Desk Toy, ADHD, Fidget Toy, Fidget, relaxing, Fractal, concentration, focus, Gift, stocking stuffer, stress relief, autism, anxiety relief",1033,889,0.9,29,$6.99,$203,42
"SolidGamer3D:Valorant Gekko Pop-Out Eye Stress Relief Toy, Valorant Game Desk Decor, Gift for gamers
valorant prop, valorant decor, valorant gekko gift, Stress Relief Toy, gamer gift, valorant gift, gekko toy, valorant setup",42,424,10.1,9,$19.90,$179,23
"CuriousCutes:No Sew Dog Stress Ball Puppy Crochet Pattern Animal Stress Ball Pattern  (PDF Digital Download)
crochet pattern, stress ball, stress ball pattern, easy crochet pattern, beginner crochet, no sew pattern, octopus, squishy, stress blob pattern, dog stress ball, puppy stress ball, crochet stress ball, dog toy",72,906,12.6,46,$3.75,$172,90
"johannamigurumi:CROCHET PATTERN - Phil the Frog Stress Ball | No Sew | Amigurumi Crochet Squeeze Stress Ball Plushie Pattern | Digital PDF File
crochet, amigurumi, pattern, gift, animal, plush, market, squeeze, squishy, no sew, frog, stress ball, leggy",39,790,20.3,40,$4.00,$160,94
"ARSerendipityDesigns:PDF Bubble Bass Fish Stress Ball Plush Pattern Printable Labels Tags ARSerendipityDesigns Market
pattern, crochet, bass, fishing, largemouth bass, gift, amigurumi, fish, bass fish, stress ball, plush, bubble bass, stress",45,864,19.2,44,$3.50,$154,113
"EverydayWhimtastic:Handmade rainbow beads vacuum stress relief balls for stress relief,Soft fidget toys,Sensory toys for adults,Anti-stress gel balls
Desk Stress Ball, Mochies, Stim Toy Squishy, Squishy Figet Toys, Squeeze Silicone Toy, Baby Gifts, Gifts for Boys, Gifts for Girls, Gift, Stress relief toys, Squeeze Stressball, Stress relief ball, Sensory toys",26,353,13.6,4,$37.00,$148,36
"NataliaMade:Funny Badge Reel - Stressed Possum Retractable Badge Holder, Heavy Duty Reel, Breakaway Lanyard, Carabiner, MRI Safe, Healthcare Badges
nurse badge holder, badge reel, retractable badge, interchangeable, heavy duty badge, nataliamade natalia, er icu med surge, dark humor snarky, funny gift for, nurse doctor RRT CNA, murse man men, nursing student, stressed possum",424,691,1.6,22,$6.50,$143,111
"CognicHealth:Grounding Techniques Print, Anxiety and Stress Relief, Breathing Exercises, Calm Down Mental Health, CBT, Mindfulness (DIGITAL PRINTABLE)
anxiety, mindfulness, psychology, mental health, self-care, cbt, relaxation, wall decor, grounding technique, breathing exercises, therapy worksheets, stress relief, depression",1554,698,0.4,36,$3.97,$143,71
"3CEtching:Too Blessed To Be Stressed - Engraved Stainless Steel Tumbler, Faith Mug, Blessed Gift Mug, Positivity Gift Mug
Blessed, Blessed Mug, Blessed Gift, Stress Free, Faith Based Gifts, Faith Gift, Faith Based Mug, Faith Mug, Christian Gifts, Christian Mugs, Too Blessed, Stressed, Relax",1523,285,0.2,5,$25.95,$130,11
"ThickThumbCrochet:Bunny Crochet Pattern, Stress Pet Fidget toy pdf, Cute Stress ball, Little Rabbit, Baby Bunny, Amigurimi Animal, Fun DIY Easter basket toy
Bunny Rabbit, Cute Animal, Plush Bunny, Stress ball toy, Animal Fidget toy, Stress blob, Easter fun, Spring Crochet, Amigurumi bunny, market make, fast easy crochet, Egg hunt Gift, mini plushie",45,693,15.4,35,$3.65,$128,31
"DigitalTemplateCart:50 Post Traumatic Stress Disorder Post, PTSD Instagram Template, mental health post, therapist template, social media post, life coach post
mental health canva, therapist template, life Coach template, instagram post, social media content, canva template, instagram templates, life coach post, therapist post, mindfulness post, PTSD Post, Stress Disorder, Trauma",532,532,1,27,$2.93,$79,42
"Teachwithtech:Be a schwa don't stress svg png eps jpeg language arts language help cut file - Teacher t shirt cut file silhouette cricut - Language aid
schwa png svg, be a schwa svg, schwa stress svg, dont stress svg, schwa cricut cut, schwa silhouette, language arts svg, language schwa svg, language teacher svg, language arts schwa, dont stress language, dont stress svg png, dont stress png svg",730,689,0.9,35,$2.05,$72,50
"jiggyartsncrafts:2-Pack Grape Squishy Stress Ball - Sensory Stress Ball/Decompressor for Adults/Kids
StressReliefToy, GrapeSquishyToy, Squeezeball, MeshFidgetToy",298,514,1.7,14,$4.99,$70,35
"CarvedwoodenmoCrafts:Personalized Wood Thumb Cross - Handheld Scripture Stress Relief Gift,Sensory Anxiety Fidget Toy,Religious Prayer & Easter Keepsake
Personalized Cross, Pocket Thumb Cross, Mindfulness Tool, Stress Relief Gift, Anti-anxiety Fidget, Anxiety Reducing Toy, Concentration Aid, Stress Management, Wood Fidget Toy, Handheld Prayer, Christian Comfort, Scripture Engraved, Communion Gift",17,496,29.2,13,$4.99,$65,25
"BlissValleyClassroom:Donut Stress Just Do Your Best Classroom Bulletin Board Kit | Door Decoration | Class Décor | State Testing | Finals | MAP Test | Winter
bulletin board, teacher bulletin, teacher ideas, bulletin board kit, spring bulletin, donut stress, just do your best, testing, classroom décor, end of the year, MAP test, state testing, winter",737,325,0.4,16,$4.00,$64,5
"livepaperstudio:Donut Stress Just Do Your Best SVG, Test Day Teacher Shirt Svg, Testing Svg, Gift for Teacher, School, Digital Download Png, Dxf, Eps Files
test day svg, teacher svg, teacher quotes svg, teacher gift svg, doughnut svg, donut stress, just do your best, testing coordinator, last day of school, svg files for cricut, svg for silhouette, sublimation png, state testing shirt",731,457,0.6,23,$2.40,$55,28
"SmarterNotHarder3D:Fidget Blanket - Stress Reliever!!!
fidget, toys, desk toys, work toys, adult party favor, party favor, travel toys, relaxing fun, fidgets, stress relieving, stress toys, fidget blanket, blanket fidget",46,273,5.9,9,$5.99,$54,16
"johannamigurumi:CROCHET PATTERN - Yeti and Penguin Stress Ball Pack | No Sew | Amigurumi Crochet Squeeze Stress Ball Plushie Pattern | Digital PDF File
crochet, amigurumi, pattern, animal, plush, market, squeeze, squishy, stress, ball, no sew, penguin, yeti",170,294,1.7,15,$3.45,$52,32
"HandmadebyMalCo:hot mess a little stressed sublimation design
hot mess, a little stressed, boy mom, boy momma, boy mom shirts, mom shirts, race car shirts, racing shirts, mom of boys, funny mom shirts, hot mess shirts",348,339,1,17,$3.00,$51,23
"PrintedPlaceCo:Spiral Slinky Sensory Fidget | Stress Relief | ADHD | 2 5/8 inch diameter
fidget toy, toy, fidget, stress, desk toy, spiral, slinky, adhd, fun",64,225,3.5,7,$5.99,$42,25
"SmarterNotHarder3D:Flexi Starfish Fidget, Stress Relieving
desk toy, starfish, ocean toy, fidget toy, fidgets, flexi starfish, articulating toys, 3D starfish, toys, fish, cute animals, animals, animal fidget",43,129,3,4,$9.99,$40,2
"KreationsByKoharchik:8oz mason jar 100% soy candle
mason jar, handmade, all natural, Soy candle, Christmas gift, Christmas, stocking stuffer, white elephant",1522,125,0.1,4,$9.00,$36,2
"CircaSassy:Abstract Zentangle Geometric Stress-Relief Coloring Pages for Adult, Anxiety Relief Adult Coloring Book, Instant Download 5 PDF Printables
adult coloring page, kids coloring book, adult coloring book, printable coloring, mandala coloring, abstract coloring, geometric pattern, geometric coloring, anxiety coloring, stress coloring book, pattern coloring, zentangle coloring, minimalist coloring",391,472,1.2,24,$1.42,$34,16
"LeafiaSkinCare:Stress Relief - Instantly Refresh Rose Mist - Moisturizes, Hydrates, and Cools Skin Anytime| Summer Dewy Glow. Suitable for All Skin Types
Rose body face mist, Hydrating skin spray, Dewy skin toner, Glow boost mist free, spray for travel, stress relief water, Mist for dry skin, Cooling facial spray, Self care skincare, Daily face refresh, Vegan facial mist, Natural organic skin, Makeup setting mist",34,112,3.3,2,$16.99,$34,2
"MadisHandmadeHorrors:Cute Stress Ball (green currently unavailable)
stress relief, stress ball, squishy, adorable, soft, crocheted, crochet",157,345,2.2,6,$5.00,$30,24
"RinconGitano:Stress Relief aromatherapy blend roll on  (Alivia Estrés)
stress relief, headache relief, migraine relief, eassential oil, aromatherapy, alivia estrés, Mariselherbal",2016,119,0.1,2,$14.99,$30,6
"SweetSkyDesign:All My Systems are Nervous Sticker, Stressed Sticker, Mental Health Sticker, Funny Sticker, Water Bottle Sticker, Laptop Sticker, Decal
sticker, laptop sticker, water bottle sticker, computer sticker, decals, gift, trendy, phone sticker, mental health, self love, nervous system, funny sticker, stress sticker",95,174,1.8,8,$3.50,$28,22
"FidgetPicksShop:FAIRY CORE GARDEN Mushrooms, Silicone Picking Pad, Stress and Anxiety Relief - Fidget Pick Toy - Skin Picking, Dermatillomania, adhd
Silicone Picky Pad, Fidget Pick Pad, Anxiety Relief Pad, Bead Picking Pad, Skin Picking Pad, Dermatillomania Pad, Fidget Toy, Silicone Picker Pad, Fidget Picker Toy, fairy themed gift, fairy picky pad, girl birthday gift, fairy core gift",10,92,9.2,1,$27.99,$28,19
"MysticCandleCo7:Amber glass container (9oz) candle, Gift Favors, No Stress candle, Handmade Candle, Valentine's Day Gift, Soy wax candle, Handmade Gift
Container candles, Aromacandles, Aromatherapy, Birthdaygift, soy wax candles, candle store, eco candle, best candles, aromatherapy candle, soy wax, wooden wick candle, gift best friend, Valentines gift",681,98,0.1,1,$25.99,$26,1
