Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"DesignedByLibi:White Coat Ceremony Gift for Her Gift Wrap Paper White Coat Medical Student Pharmacy Gift for Him Pharmd Future Doctor First White Coat
white coat ceremony, gift for her, gift for him, gift for women, gift wrap paper, wrapping paper, pharmacy white coat, pharmd white coat, pa white coat, physical therapy, pharmacy student, dental white coat, vet white coat",434,147,0.3,3,$24.45,$73,7
"ThoughtfulGiftsbyC:Happy Birthday Gift for Her, Personalized Birthday Box for Women, Custom Birthday Gifts for Mom, Bff Best Friend, Gift Basket with Balnket
Gift Basket, best friend birthday, happy birthday box, happy birthday gift, gift box for her, personalized gift, custom gift for her, care package for her, sending hug for her, Unique Gifts, 40th birthday gift, 50th birthday gift, 60th birthday gift",681,253,0.4,1,$73.00,$73,9
"BsCreationsVA:Just Breathe Flexible Magnet, 30oz, 40oz, Gift For You, Gift For Her, Gift For Him
Tumbler Magnet, Magnet, Cup Decorations, Flexible Magnet, Gift For You, 40oz Tumbler, Gift For Her, Gift For Him, 30oz Tumbler, Just Breathe, Dandelion, Mental Health",386,289,0.7,9,$8.00,$72,46
"VVracingShop:F1 car Gift Wrap Papers, Custom Vintage Santa Gift Wrap Papers,   Christmas  Event Wrapping Paper, Grass Gift Wrap Papers, Gifts for her
f1, formula 1, f1 wrapping paper, wrapping paper, carlos sainz, charles leclerc, max verstappen, lewis hamilton, lando norris, wrapping paper f1, formula 1 wrap paper, gifts for her, gifts for him",501,177,0.4,3,$23.88,$72,10
"CustombyJennB:Religious Straw topper| Christian Straw toppers| tumbler accesories| Christian Straw cover| Christian Gifts for her| Straw topper
straw topper, religious straw top, christian straw top, religious gift, straw topper tumbler, straw cover, gift for her, tumbler accesories, tumbler topper, christian tumbler, straw cover for her, tumbler for her",88,308,3.5,15,$4.00,$60,18
"GiftCountyShop:Hygge Gift For Her Personalized Gift Box For Women Sending Love Thinking Of You Cozy Gift Box For Mom, Grandma, Friend Congratulations Gift
Gift box for women, gift for her, cozy gift basket, hygge gift box, care package for her, hygge gift, cozy gift, women christmas gift, new year cozy gift, merry christmas gift, gift for her ideas, personalized gift, custom gift box",661,143,0.2,1,$55.20,$55,6
"SplashofSunshineUS:Gift for Mom for Mother's Day, Gift Box for Women, Gift for Her, Gift Bakset for Mom, Care Package for First Time Mom, Best Friend, Sister
grandma gifts, gifts for mom, Mothers Day gift, best mom ever, happy mothers day, mom gift basket, gift for wife, care package for mom, for best friend, for sister, gift basket for mom, personalized gift, gifts for her",16,97,6.1,1,$35.88,$36,1
"AdvantageAB:Tennis Wrapping Paper Tennis Gifts Cute Gift Wrap for Tennis Lovers Holiday Gift Wrap Christmas Paper Gifts for Her Retro Wrapping Roll
gift wrap, wrapping roll, wrapping paper, tennis gifts, gift for her, captain gift, christmas gift wrap, christmas wrapping, gift for mom, tennis wrapping, sports gifts, tennis team, gifts for him",469,89,0.2,2,$12.00,$24,1
"DesignshCrafts:Personalized Bridesmaid Tote Bags with Scarf, Maid of Honor Tote Bag, Bridesmaid Gifts, Wedding Gift, Women Gift, Girlfriend Gift for Her
Mini Straw Bags, Bridal Party Gifts, Bridesmaid Beach Bag, Wedding Tote Bags, Bridesmaid Gifts Bag, Girls Trip Bag, Wedding Gift Bag, Burlap Tote Bags, Bridesmaid gift Bag, Beach Tote Bag, Gifts for Her, Bride Bag, Bridesmaid Tote Bag",281,77,0.3,2,$9.90,$20,0
"BsCreationsVA:Baseball Flexible Magnet,40oz Tumbler, Cup Magnet, Gift For You, Gift For Her, Gift For Him
Tumbler Magnet, Magnet, Cup Decorations, Flexible Magnet, Gift For You, 40oz Tumbler, Gift For Her, Adult Humor, Baseball, 30oz Tumber, Travel Baseball, Rec Baseball, Sports Ball",396,77,0.2,2,$8.00,$16,4
