Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"GetLazered:Wooden  Coffee Cup Shaped Gift Card Holder with Cute Sayings for teacher gift/ Teacher Appreciation Gift
Teacher Appreciation, Teacher Gift, Gift for Teacher, Gift card holders, coffee teacher Gift, Teacher, Thank you gifts, Thank a teacher, School gifts, custom teacher gift, Thank you Teacher, Educator gifts, School year gifts",367,306,0.8,6,$20.00,$120,4
"KendraJohnDesigns:Jam Teacher Tag, Jam Gift Tag, Teacher Thank You Tag, Teacher Appreciation Printable, Teacher Gift Ideas, End of School Gift Tags, Corjl Tag
Jam Teacher Tag, Jam Gift Tag, Teacher Thank You, Thank You Tag, Teacher Appreciation, Teacher Gift Ideas, Bulk Teacher Gift, end of School Gift, Corjl Tag, Editable Tag, Last Day of School, Thank You Berry Much, Teaching is your Jam",717,598,0.8,19,$5.79,$110,20
"BloomyBliss:Wicked Gift Wrap Paper, Festive Wrapping Paper for Halloween, Unique Gift Wrap for Birthdays, Green Pink Wrapping Sheets, Eco-Friendly Gift
gift wrap papers, unique gift wrap, colorful gift wrap, holidays gift wrap, birthday gift wrap, modern gift wrap, fun wrap design, artistic gift wrap, custom gift wrap, gift wrap supplies, package decoration, trendy gift wrap, party wrap ideas",42,245,5.8,5,$21.10,$105,6
"MenteshDTF:Tattoos Are Trashy DTF, Sassy Gift, Ready to Press, Tattoos Are Trashy Iron Transfer, Adult Humor DTF, Tattoos Are Stupid DTF,Sarcastic Dtf
ready to press, dtf transfers, dtf prints, direct to film, heat transfer, high quality dtf, full color print, trendy dtf transfer, funny meme dtf, funny dtf transfers, Tattoos are trashy, sarcastic dtf",54,503,9.3,25,$3.00,$75,39
"InvitationsByCaty:Decorative Small Floral Shipping / Gift Box
shipping box, gift box, floral, box, mailer",629,363,0.6,12,$5.99,$72,9
"WhiteBirchPrints:Administrative Professional Day Gift Card Holder Funny Employee Appreciation Card Pack Printable Gift Tags for Office Manager Gift Sarcastic
workplace humor card, admin professionals, office manager gift, funny employee card, employee recognition, employee thanks, administrative day, editable thank you, appreciation cards, gift card holder, team appreciation, staff thank you card, sarcastic gift tags",67,225,3.4,11,$4.99,$55,7
"VannahBananaCrafts:Barbie Christmas Gift Wrapping Papers
barbie, barbie gift wrap, barbie gift, gift wrapping paper, christmas wrap, christmas paper, christmas, barbie paper, christmas gifts, christmas wrap paper, barbie theme",528,218,0.4,5,$10.85,$54,3
"PapierDabeille:School Bus Wrapping Paper, School Bus Gift Wrap, School Bus Driver, Gift For School Bus Driver, Fun Wrapping Paper, School Gift
Bus Driver Gift, Yellow Bus, Yellow Wrapping, School Wrapping, School Gift Wrap, Gift For Tracher, Gift For Bus Driver, Back to School Gift, Fun School Gift Wrap, Fun School, Little Yellow Bus, Gift For Her, Gift For Him",341,134,0.4,2,$21.99,$44,10
"Dreampartycreation:TUSCAN HARVEST Print Design Gift Grade Tissue Paper Sheets Choose Size & Package Amount
party, decoration, shred, basket, tissue paper, gift, MOTHER'S DAY, BIRTHDAY, SPRING, BAGS, xmas, christmas",980,273,0.3,14,$2.29,$32,16
"DesignsbyVirgilio:Digital End of School Year Gift Tag|Canva Template|Have a Great Summer Tag|Editable Canva Digital Download|Teacher Summer Gift
digital gift tag, end of school, summer, have a great summer, teacher gift, student gift, schools out, thank you, gift tag, Canva template, printable, easy, digital download",683,204,0.3,10,$2.50,$25,10
"UNCTarHeelPosh:UNC Chapel Hill | Gift Wrapping Paper Sheets, 1pc | Carolina Fever | Chapel Thrill | North Carolina | Graduation Gift | Carolina Blue
unc chapel hill, chapel hill, north carolina, unc, Carolina blue, argyle, print, pattern, personalized, custom, wrapping paper, sheet, gift",125,104,0.8,2,$10.70,$21,5
"BrittanyJoDesign:Thanks For All You Do Gift Tags, Thank You Gift, Square Tags, Thank You Tags, Gift Tag, Hang Tag, Bakers Tag, Printable
bakers tag, printable tags, printable gift tags, simple, gift giving, Square gift tag, Square, Cookie tag, Black and white, thanks, appreciation gift, Thank you, Employee",1159,156,0.1,8,$2.50,$20,7
"KeadoraDesigns:Monster Truck gift box treat box printable download pdf png Instant download
treat box, treat bag, gift box, printable box, digital download, party supplies",1123,107,0.1,5,$3.00,$15,1
"3DShoeboxDiorama:Easy and Fun DIY gift box for cash gifts and gift cards, DIY Money Giftbox, Paper Cash Gift Box, Mini BoomBox, Ghetto Blaster, Retro Style
Printable templates, Gift Box Template, DIY Gift boxes, boombox gift box, boom box gift box, ghetto blaster gift, DIY ghetto blaster, DIY ghettoblaster, HipHop Nostalgia, Vintage Hip Hop, radio casett player, money giftbox, Gift Card Holder",67,104,1.6,5,$2.47,$12,2
"goingtoguides:GIFT WRAP Add-On to Any Order Basic with Baker's Twine or Deluxe Style with Organza Rainbow Ribbon Going To Guides Castle Gift Tag Included
gift wrap, present wrap, gift wrap add on, rainbow ribbon, signature wrapping, going to guides, disneyland castle, baker's twice, organza ribbon, polka dot paper, gift box, gift idea, best friend gift",346,114,0.3,5,$2.00,$10,1
