Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"ArtWhatYouLove:Speech Pathology Funny Cats Shirt,Speech Therapy Cats Crewneck,Speech Pathologist Cat Lover Gift,Speech Pathology Era Sweatshirt,Cat Puns
speech pathology, speech pathologist, speech therapy, speech coach, funny cat shirt, pathology cats, speech cats, funny cat gift, cat lover shirt, cat puns speech, teacher cats, therapy cats, funny cat puns",58,490,8.4,9,$29.77,$268,33
"CozyGiftsCompany:Retro Comfort Occupational Therapy Shirt, OT Special Education Shirt, Cute Therapist Gift, Sped Teacher Gift, Teacher Appreciation Gift
Occupational Shirt, Therapist Shirt, Special Education, Occupational Therapy, Comfort Colors, Teacher Gifts, neurodiversity shirt, ot shirt, sped teacher gift, Teacher shirt, Mental Health Shirt, teacher appreciation, autism awareness",243,625,2.6,14,$16.89,$236,19
"Yaquetees:Pocket Size Occupational Therapy Shirt, Pocket Size OT Shirt, Therapist Shirt, Occupational Therapy Shirt
Ot Shirt, Ot Gift, Ot Sweatshirt, Pocket Ot Shirt, Cute Ot Gift, Ot Life Shirt, Occupational Therapy, Occupational Shirt, Occupational Gift, Therapist Shirt, Therapist Gift, Therapy Shirt, Therapy Gift",965,846,0.9,21,$10.33,$217,28
"ThisGirlsGotGame:Letting Go worksheets confidence guide Self-help Therapy tools Mental Health printables Healing past pain Coping skills Emotional recovery
Heartbreak Therapy, Mental health, Confidence worksheet, Self-care exercises, Trauma healing, Self-help printable, How to let go, Anxiety tools, Letting go of past, Self-love digital, Acceptance therapy, Breakup worksheets, Divorce recovery",1295,842,0.7,27,$8.00,$216,103
"MUSTNY:Physical Therapy Face Mask - Occupational Therapy
colorful face mask, water repellant, cotton, adjustable earloop, breathable, double layer, washable face mask, counselor, counselor face mask, psychologist, psychologist face, social worker, social worker face",1439,714,0.5,23,$7.99,$184,11
"Relatee:Physical Therapy Sweatshirt Girl B Doll PT Crewneck Doctor Physical Therapist Shirt Physical Therapy Assistant Gifts DPT PTA Sweater
physical therapy, Physical Therapist, Physician Assistant, DPT Graduation Gift, Therapist Grad Tee, Therapist Life Shirt, Pediatric Therapy, gift for PT, Gift for Therapist, Graduation Gift, christmas gift idea, Pt Sweatshirt, PTA Crewneck",544,366,0.7,3,$58.77,$176,34
"WonderWallsPrints:Talking Helps Print | Therapy Art | Psychologist Quotes | Therapy Office Decor | Mental Health Print | Untangle Thoughts Artwork
talking helps, psychologist quote, psychologist artwork, psychologist print, psychologist decor, therapy office art, therapy office decor, therapy artwork, mental health art, mental health print, minimalist office, counsellor artwork, psychologist office",729,782,1.1,25,$5.90,$148,95
"ThePTshop:Therapy Team soft comfort headband | healthcare headband | workout headband | PT, SLP, OT, pelvic floor, respiratory therapy
turbans, occupational therapy, PTA, hair accessory, nursing, healthcare, headbands, Physical therapist, Physical therapy, speech therapy, SLP, respiratory therapy, therapy",130,521,4,13,$10.00,$130,18
"FlameDesignUS:Cute Occupational Therapy Shirt, OT Shirt, Special Education Shirt, Therapist Shirt, Autism Awareness, Sped Teacher Gift, Neurodiversity Tee
Teacher shirt, Teacher Gifts, Teacher Appreciation, Back To School, elementary teacher, Comfort Colors, teacher christmas, Occupational Therapy, sped teacher gift, ot shirt, special education, Neurodiversity Shirt, ot therapist shirt",352,244,0.7,5,$24.99,$125,8
"Mcjunvintage:Embroidered Physical Therapy Sweatshirt, Physical Therapist Shirt, PT Shirt, Gift For Physical, Pediatric Physical Therapy Sweatshirt
embroidered shirt, Physical Therapist, Doctor Of Physical, pta gift, pt graduation gift, therapist assistant, therapist gift, therapist shirt, therapy assistant, therapy shirt, therapist sweatshirt, DPT Graduation gift, doctor sweater",138,274,2,6,$19.99,$120,22
"BitchinDesignCo:Therapy Doesn't Cure Poverty Sticker | Decolonize Therapy Vinyl Decal | Leftist Therapist
vinyl decal, sticker, decal, bumper sticker, gift, Mental Health, therapy doesn't cure, poverty stickers, leftist therapist, decolonize therapy, therapist decal, waterproof, leftist stickers",1002,656,0.7,33,$3.50,$116,213
