Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"DazzlingDrops:Personalized Manifestation Journal, Manifest That Shit, Gratitude Journal, Grief Journal, Anxiety Journal, Daily Affirmation Journal
manifestation, Mental Health, Journal, Manifest That Shit, Gratitude Journal, Grief Journal, Anxiety Journal, Daily Affirmation, Law of Attraction, Self Care Journal",3,1,0.3,0,$40.88,$0,0
"PrintedLifeDesigns:Personalized Best Friend Journal Gift | Best Friend Gift | Birthday Gift for Her | Journal for Women | Gift For Friend | Bestie Gift
best friend gift, personalized journal, personalized gifts, custom notebook, gift for friend, custom journal, gift for her, gift for best friend, gifts for mom, best friend, friendship gift, bestie gift, birthday gift",460,96,0.2,1,$41.95,$42,0
"InspirationalTrends:Personalized Walk By Faith Vegan Leather Journal For Women, Christian Faith Bible Study Group Lesson Notebook, Inspirational Graphic Artwork
personalized journal, christian journal, bible study notebook, walk by faith, sermon notebook, vegan leather, faux leather journal, writing journal, christian notebook, gifts for daughter, devotional journal, graphic journal, christian gifts",508,117,0.2,1,$33.95,$34,8
"3LittleBirdsGiftStop:Manifestation journal 2025, Personalized Vegan Leather Goal tracker, Blank Page Notebook, Custom name Diary Gift for him custom gift for her
personalized gift, custom journal, personalized journal, manifestation, pregnancy journal, goal journal, 2025 notebook, gift for her, gift for him, 2025 goals, custom name, customized journal, journal for him",122,27,0.2,0,$28.00,$0,5
"DivinelyDazzled:Daughter From Dad Inspirational Leather Journal Gift|Custom Personalized Mood Tracker Dairy|Grad/Birthday/Christmas Girl Gift|Spiritual Zen
dad to daughter gift, Daughter journal, mood tracker dairy, personalized diary, shadow work journal, custom leather book, therapy journal, inspirational diary, motivational quote, daughter grad bday, journal notebook, girl dream journal, daughter Xmas gift",244,39,0.2,0,$50.95,$0,0
"glowheartgifts:Personalized Prayer Journal Custom Notebook - Faith Journal, Letters to God, Christian Gift, For Her, For Him
christian birthday, confirmation gift, letters to god, religious gift, Christian gift, Christian mens, christian gift ideas, bible journal, for boys, faith journals, customizable faith, devotional journal, for son",200,43,0.2,0,$41.99,$0,1
"HeartfeltFamilyGift:Personalized Journal For Women, Custom Name Journal, Gift Best Friend, She Is Me Journal, Healing Journal, Self Care, Gift for Sister, Mom
she is me journal, personalized journal, self love era, she is me, black girl journal, black women journal, mental health gift, black girl notebook, gift for black women, healing notebook, Christmas gift, heartfeltfamilygift, Christmas gifts",156,29,0.2,0,$44.95,$0,0
"MsClassyGifts:A Personalized Christian Men's Journal for Reflection and Growth/ Bible Study Prayer Journal - Unique Christian Gift
bible study journal, prayer journal, churchmate gift, Christian gift, leather journal, reflection notebook, Religious keepsake, Christian Men, journaling bible, Christmas Birthday, Officiant gift, Priest gift, Pastor gift",433,32,0.1,0,$49.95,$0,0
"YoliDesignsCo:Family Travel Journal,Adventure Journal,Traveling Journal,Camping Journal,Camper Notebook,Custom Journal,Camping Gift,Trip Planner,RV Gift
daily journal, travel journal, writing journal, travel essentials, travel checklist, travel gifts, travel gift, travel notebook, adventure book, road trip, travelers notebook, eiffel tower, adventure awaiting",246,17,0.1,0,$39.99,$0,1
"RealCuteGiftsCo:Personalized Graduation Gift Journal, ASU Graduation Gift, MPH Graduation Gift, PHD Graduation Gift, Congrats Graduate, Daughter Congratulat
new chapter journal, asu graduation gift, mph graduation gift, mba grad, personalized custom, pt ot nursing dpt, masters BSN LPN RN, 2024 grad gift, hbcu grad, celebration daughter, college program, leather journal, Soriority Gift",337,17,0.1,0,$38.95,$0,0
